Repository,Language,Files,Blank,Comment,Code
mohitmishra786/chessman,C/C++ Header,179,3403,4121,13228
mohitmishra786/chessman,CSS,1,16,17,75
mohitmishra786/chessman,ERB,7,58,0,144
mohitmishra786/chessman,Expect,18,244,484,938
mohitmishra786/chessman,HTML,217,871,16,3058
mohitmishra786/chessman,JSON,2,13,0,994
mohitmishra786/chessman,Java,51,1565,4031,10759
mohitmishra786/chessman,JavaScript,1,114,0,1069
mohitmishra786/chessman,Markdown,120,8800,272,24506
mohitmishra786/chessman,Perl,2,58,103,177
mohitmishra786/chessman,Python,5,111,38,490
mohitmishra786/chessman,Ruby,1332,22898,33009,113438
mohitmishra786/chessman,SCSS,8,111,76,563
mohitmishra786/chessman,Text,231,2971,0,16156
mohitmishra786/chessman,Visual Studio Solution,1,1,1,31
mohitmishra786/chessman,XML,9,16,4,354
mohitmishra786/chessman,YAML,27,183,138,1505
mohitmishra786/chessman,m4,14,145,48,2021
mohitmishra786/chessman,make,15,203,53,1081
mohitmishra786/underTheHoodOfExecutables,C,2,4,1,18
mohitmishra786/underTheHoodOfExecutables,HTML,1,33,2,257
mohitmishra786/underTheHoodOfExecutables,Markdown,18,1299,0,4092
mohitmishra786/reversingBits,HTML,1,120,1,760
mohitmishra786/reversingBits,Markdown,46,1725,0,7030
mohitmishra786/merkle-db-sync,CSS,1,87,0,527
mohitmishra786/merkle-db-sync,HTML,1,8,2,181
mohitmishra786/merkle-db-sync,JavaScript,1,168,67,744
mohitmishra786/merkle-db-sync,Markdown,1,59,0,216
mohitmishra786/myJourneyOfBuildingOS,C,23,1520,801,6388
mohitmishra786/myJourneyOfBuildingOS,D,4,0,0,4
mohitmishra786/myJourneyOfBuildingOS,HTML,2,114,11,910
mohitmishra786/myJourneyOfBuildingOS,JavaScript,2,104,46,828
mohitmishra786/myJourneyOfBuildingOS,Markdown,55,5260,0,19003
mohitmishra786/myJourneyOfBuildingOS,XML,4,0,0,80
mohitmishra786/myJourneyOfBuildingOS,YAML,6,5,0,49
